,county_name,percent_act_ela_below_basic,average_act_english_percentile,average_act_reading_percentile,percent_12th_grade_ell,percent_graduates,percent_wsas_ela_below_basic_3_8,percent_wsas_ela_below_basic_3_5,percent_wsas_ela_below_basic_6_8,year,unemployment
1,Milwaukee,30.9,36,42,3.6,75.5,34.3,36.1,32.3,1516,3.1
2,Milwaukee,34,40,36,3.2,76.7,33.5,35.1,31.7,1617,3.1
