"county_name","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic_3_8","count_wsas_ela_basic_or_below_basic_3_8","count_wsas_students_3_8","percent_wsas_ela_below_basic_3_8","percent_wsas_ela_basic_or_below_basic_3_8","count_wsas_ela_below_basic_3_5","count_wsas_ela_basic_or_below_basic_3_5","count_wsas_students_3_5","percent_wsas_ela_below_basic_3_5","percent_wsas_ela_basic_or_below_basic_3_5","count_wsas_ela_below_basic_6_8","count_wsas_ela_basic_or_below_basic_6_8","count_wsas_students_6_8","percent_wsas_ela_below_basic_6_8","percent_wsas_ela_basic_or_below_basic_6_8"
"Adams","51","82",110,"46.4","74.5","36","31","1",132,"0.8","120",131,"91.6","270","514",688,"39.2","74.7","107","241",344,"31.1","70.1","163","273",344,"47.4","79.4"
"Ashland","79","148",217,"36.4","68.2","40","42","0",209,"0","188",211,"89.1","271","716",1162,"23.3","61.6","115","330",593,"19.4","55.6","156","386",569,"27.4","67.8"
"Barron","153","341",575,"26.6","59.3","45","48","24",589,"4.1","518",562,"92.2","577","1749",3247,"17.8","53.9","307","874",1652,"18.6","52.9","270","875",1595,"16.9","54.9"
"Bayfield","35","67",115,"30.4","58.3","52","48","0",147,"0","132",139,"95","96","342",648,"14.8","52.8","41","165",317,"12.9","52.1","55","177",331,"16.6","53.5"
"Brown","949","1844",3179,"29.9","58","45","48","192",3383,"5.7","2931",3257,"90","4338","11012",19470,"22.3","56.6","2164","5410",9907,"21.8","54.6","2174","5602",9563,"22.7","58.6"
"Buffalo","32","82",141,"22.7","58.2","45","48","1",142,"0.7","136",140,"97.1","125","456",858,"14.6","53.1","56","210",407,"13.8","51.6","69","246",451,"15.3","54.5"
"Burnett","93","188",281,"33.1","66.9","40","42","3",298,"1","225",271,"83","202","586",985,"20.5","59.5","73","258",444,"16.4","58.1","129","328",541,"23.8","60.6"
"Calumet","86","204",317,"27.1","64.4","45","48","4",278,"1.4","258",267,"96.6","246","831",1657,"14.8","50.2","120","398",773,"15.5","51.5","126","433",884,"14.3","49"
"Chippewa","204","432",676,"30.2","63.9","45","48","1",701,"0.1","603",668,"90.3","724","2203",4010,"18.1","54.9","362","1071",2025,"17.9","52.9","362","1132",1985,"18.2","57"
"Clark","130","245",395,"32.9","62","40","42","9",370,"2.4","347",361,"96.1","452","1325",2113,"21.4","62.7","215","610",1019,"21.1","59.9","237","715",1094,"21.7","65.4"
"Columbia","185","432",741,"25","58.3","45","48","3",715,"0.4","638",678,"94.1","690","2204",3933,"17.5","56","338","1076",1949,"17.3","55.2","352","1128",1984,"17.7","56.9"
"Crawford","57","120",169,"33.7","71","40","36","0",165,"0","157",167,"94","137","477",908,"15.1","52.5","66","232",454,"14.5","51.1","71","245",454,"15.6","54"
"Dane","1191","2555",5715,"20.8","44.7","58","61","283",6110,"4.6","5025",5610,"89.6","6688","16803",33275,"20.1","50.5","3409","8496",16711,"20.4","50.8","3279","8307",16564,"19.8","50.2"
"Dodge","153","359",594,"25.8","60.4","45","48","11",682,"1.6","578",632,"91.5","618","1842",3467,"17.8","53.1","236","812",1697,"13.9","47.8","382","1030",1770,"21.6","58.2"
"Door","45","137",278,"16.2","49.3","58","55","1",291,"0.3","271",284,"95.4","179","641",1491,"12","43","103","345",743,"13.9","46.4","76","296",748,"10.2","39.6"
"Douglas","131","260",436,"30","59.6","40","42","2",488,"0.4","406",456,"89","508","1469",2721,"18.7","54","249","723",1398,"17.8","51.7","259","746",1323,"19.6","56.4"
"Dunn","109","269",464,"23.5","58","45","48","6",436,"1.4","367",406,"90.4","408","1411",2600,"15.7","54.3","207","691",1300,"15.9","53.2","201","720",1300,"15.5","55.4"
"Eau Claire","202","489",1023,"19.7","47.8","58","55","13",1108,"1.2","874",1006,"86.9","995","3127",6145,"16.2","50.9","483","1559",3168,"15.2","49.2","512","1568",2977,"17.2","52.7"
"Florence","Redacted","Redacted",19,"Redacted","Redacted","Redacted","Redacted","0",31,"0","30",32,"93.8","29","90",152,"19.1","59.2","15","44",77,"19.5","57.1","14","46",75,"18.7","61.3"
"Fond du Lac","361","736",1139,"31.7","64.6","40","42","18",1203,"1.5","1022",1141,"89.6","1012","3339",6573,"15.4","50.8","549","1679",3352,"16.4","50.1","463","1660",3221,"14.4","51.5"
"Forest","47","82",112,"42","73.2","36","36","0",116,"0","95",102,"93.1","175","390",658,"26.6","59.3","95","209",337,"28.2","62","80","181",321,"24.9","56.4"
"Grant","116","289",509,"22.8","56.8","52","48","2",522,"0.4","479",507,"94.5","511","1636",3036,"16.8","53.9","235","766",1515,"15.5","50.6","276","870",1521,"18.1","57.2"
"Green","97","218",372,"26.1","58.6","45","48","4",423,"0.9","395",413,"95.6","361","1262",2419,"14.9","52.2","171","617",1167,"14.7","52.9","190","645",1252,"15.2","51.5"
"Green Lake","68","148",235,"28.9","63","45","42","1",259,"0.4","239",255,"93.7","216","723",1297,"16.7","55.7","94","334",609,"15.4","54.8","122","389",688,"17.7","56.5"
"Iowa","49","131",246,"19.9","53.3","52","55","2",246,"0.8","238",243,"97.9","233","794",1500,"15.5","52.9","138","430",761,"18.1","56.5","95","364",739,"12.9","49.3"
