"county_name","count_act_ela_below_basic","count_act_ela_basic_or_below_basic","count_act_students","percent_act_ela_below_basic","percent_act_ela_basic_or_below_basic","average_act_english_percentile","average_act_reading_percentile","count_12th_grade_ell","count_12th_graders","percent_12th_grade_ell","count_graduates","count_in_grad_cohort","percent_graduates","count_wsas_ela_below_basic","count_wsas_ela_basic_or_below_basic","count_wsas_students","percent_wsas_ela_below_basic","percent_wsas_ela_basic_or_below_basic"
"Portage","144","359",658,"21.9","54.6","45","48","15",729,"2.1","604",689,"87.7","726","2206",3918,"18.5","56.3"
"Price","34","76",146,"23.3","52.1","45","42","2",162,"1.2","146",158,"92.4","179","480",837,"21.4","57.3"
"Racine","646","1260",2189,"29.5","57.6","40","42","108",2550,"4.2","1656",2309,"71.7","4350","8123",12070,"36","67.3"
"Richland","36","84",130,"27.7","64.6","40","42","5",158,"3.2","114",155,"73.5","230","561",792,"29","70.8"
"Rock","593","1294",2104,"28.2","61.5","40","42","69",2200,"3.1","1867",2037,"91.7","2774","7073",11957,"23.2","59.2"
"Rusk","42","94",148,"28.4","63.5","40","42","0",166,"0","146",161,"90.7","171","484",793,"21.6","61"
"Saint Croix","159","494",1058,"15","46.7","52","55","4",1031,"0.4","974",1016,"95.9","771","2952",6408,"12","46.1"
"Sauk","167","427",805,"20.7","53","45","48","21",980,"2.1","869",937,"92.7","982","2848",5118,"19.2","55.6"
"Sawyer","50","94",148,"33.8","63.5","40","42","1",185,"0.5","144",180,"80","156","546",1041,"15","52.4"
"Shawano","108","258",410,"26.3","62.9","40","48","1",447,"0.2","361",406,"88.9","528","1457",2313,"22.8","63"
"Sheboygan","343","842",1524,"22.5","55.2","45","48","31",1515,"2","1355",1460,"92.8","1733","4680",8207,"21.1","57"
"Taylor","65","140",215,"30.2","65.1","40","42","2",245,"0.8","194",219,"88.6","210","766",1442,"14.6","53.1"
"Trempealeau","123","280",416,"29.6","67.3","40","42","8",458,"1.7","437",457,"95.6","553","1548",2571,"21.5","60.2"
"Vernon","52","163",298,"17.4","54.7","45","48","0",292,"0","273",285,"95.8","308","920",1735,"17.8","53"
"Vilas","23","59",108,"21.3","54.6","40","48","0",120,"0","113",114,"99.1","245","764",1318,"18.6","58"
"Walworth","292","671",1195,"24.4","56.2","45","48","36",1298,"2.8","1115",1186,"94","1412","3961",6937,"20.4","57.1"
"Washburn","49","100",189,"25.9","52.9","45","48","0",181,"0","155",177,"87.6","261","708",1147,"22.8","61.7"
"Washington","261","729",1632,"16","44.7","52","55","9",1725,"0.5","1539",1649,"93.3","994","3625",8442,"11.8","42.9"
"Waukesha","623","1999",5058,"12.3","39.5","58","61","39",5377,"0.7","4904",5210,"94.1","3321","11555",26752,"12.4","43.2"
"Waupaca","220","465",693,"31.7","67.1","40","42","6",748,"0.8","634",710,"89.3","743","2149",3643,"20.4","59"
"Waushara","52","118",182,"28.6","64.8","36","42","4",200,"2","167",195,"85.6","225","686",1112,"20.2","61.7"
"Winnebago","415","897",1598,"26","56.1","40","48","47",1770,"2.7","1494",1668,"89.6","1948","5423",9766,"19.9","55.5"
"Wood","186","456",870,"21.4","52.4","52","55","7",1076,"0.7","909",990,"91.8","800","2594",5137,"15.6","50.5"
